3.5.5 
8.14906244899612
3.6.15
8.27317622199189
3.7.12
8.838885888
3.8.19
7.618762601
3.9.19
6.558628176
3.10.1
6.910368404991459
3.11.9
6.870630249963142
3.12.3
7.0050119669758715
